Last Name,First Name,Middle Name,Order of Presidency,Date of Birth,Date of Death,Town or County of Birth,State of Birth,Home State,Party Affiliation,Date Took Office,Date Left Office,Assassination Attempt,Assassinated,Religious Affiliation
Washington,George,,1,2/22/1732,12/14/1799,Westmoreland County,Virginia,Virginia,Independent,4/30/1789,3/4/1797,FALSE,FALSE,Deist/Episcopalian
Adams,John,,2,10/30/1735,7/4/1826,Quincy,Massachusetts,Massachusetts,Federalist,3/4/1797,3/4/1801,FALSE,FALSE,Unitarian
Jefferson,Thomas,,3,4/13/1743,7/4/1826,Albemarle County,Virginia,Virginia,Democratic-Republican,3/4/1801,3/4/1809,FALSE,FALSE,
Madison,James,,4,3/16/1751,6/28/1836,Port Conway,Virginia,Virginia,Democratic-Republican,3/4/1809,3/4/1817,FALSE,FALSE,Deist/Episcopalian
Monroe,James,,5,4/28/1758,7/4/1831,Westmoreland County,Virginia,Virginia,Democratic-Republican,3/4/1817,3/4/1825,FALSE,FALSE,Deist/Episcopalian
Adams,John,Quincy,6,7/11/1767,2/23/1848,Braintree,Massachusetts,Massachusetts,Democratic-Republican/National Republican,3/4/1825,3/4/1829,FALSE,FALSE,Unitarian
Jackson,Andrew,,7,3/15/1767,6/8/1845,Lancaster County,Tennessee,Tennessee,Democratic,3/4/1829,3/4/1837,TRUE,FALSE,Presbyterian
Van Buren,Martin,,8,12/5/1782,7/24/1862,Kinderhook,New York,New York,Democratic,3/4/1837,3/4/1841,FALSE,FALSE,Dutch Reformed
Harrison,William,Henry,9,2/9/1773,4/4/1841,Charles City County,Ohio,Ohio,Whig,3/4/1841,4/4/1841,FALSE,FALSE,Episcopalian
Tyler,John,,10,3/29/1790,1/18/1862,Charles City County,Virginia,Virginia,Whig,4/4/1841,3/4/1845,FALSE,FALSE,Episcopalian
Polk,James,Knox,11,11/2/1795,6/15/1849,Mecklenburg County,North Carolina,Tennessee,Democratic,3/4/1845,3/4/1849,FALSE,FALSE,Methodist
